follower,following,timestap,tweet,user_name
787,872,Thu Oct 25 13:59:08 +0000 2018,"@Intel_FPI Jelas niatnya adu domba...Jangan terprovokasi...
Tetep focus 

#2019GantiPresiden 
#2019PrabowoSandi… https://t.co/kGkM9HJULJ",AwanSac
847,649,Thu Oct 25 13:59:07 +0000 2018,"RT @CakKhum: Buah itu jatuh tak jauh dari pohonnya
◾Pak SBY santun 👉 AHY santun
◾Pak Habibie santun 👉 Ilham Habibie santun
◾Pak Harto santu…",jsandyf
117,1019,Thu Oct 25 13:59:07 +0000 2018,"RT @Maulana_Tigor: Kata Pak Kyai,
sampai saat ini Kita msh diSukai dan Unggul diPemilih Millenial dan Emak2. 
Ya sudah...Kita coba tes.
Tui…",ewinkz
954,1453,Thu Oct 25 13:59:05 +0000 2018,"RT @RanupsProSandi: Budget 855,5M
Berapa realisasi pesta IMF/WB di Bali?
List Budget
▪Akmdasi 569,9M
▪Konsumsi Rp 190,5M
▪Trnsprtasi Rp 36,…",babeh_jono
1492,1892,Thu Oct 25 13:59:02 +0000 2018,"RT @elfizal: Ternyata Bukan Hanya bendera Tauhid warna hitam yg mereka razia!

Warna Putih juga!
Lalu ini lambang HTI juga? 😁😁😁

Banser bik…",deandry
23,297,Thu Oct 25 13:59:02 +0000 2018,"RT @RelawanProSandi: Ayo Presiden yg juga Capres! 

Jujurlah dimulai dari dirimu
Jangan suka klaim hasil akhir padahal proses sebuah proyek…",Zahro84017594
771,2785,Thu Oct 25 13:58:55 +0000 2018,"RT @Prieyan_: Apa itu Politik SONTOLOYO..???

Politikus yang Berjanji ketika Masa Kampanyenya dengan Luar Biasa
Begitu terpilih dia malah t…",SijalMutakallim
1492,1892,Thu Oct 25 13:58:54 +0000 2018,"RT @RajaPurwa: Pak, katanya dulu pas debat capres 2014 pake programmer 2 minggu jadi! Pegimana sich!

Lah skrng sekarang nyalahin 21 tahun…",deandry
2160,504,Thu Oct 25 13:58:54 +0000 2018,"RT @putrabanten80: Pak Prabowo Subianto mendeklarasikan Gerakan Emak Emak dan Anak Sehat di jakarta Timur.

#2019GantiPresiden 
#PrabowoSan…",beautydyah
1101,788,Thu Oct 25 13:58:47 +0000 2018,"RT @RajaPurwa: Hah @aniesbaswedan dipecat gara-gara 23 T?  Ya amypun...! 

Sebar? jangan!... Sebar? jangan!... Jangan disebar dech bro, kes…",ajojuki
4049,4082,Thu Oct 25 13:58:46 +0000 2018,"RT @BangPino_: Survei: Jokowi Dianggap Berpenampilan Paling Menarik Kalahkan Sandiaga

Sebanyak :
Jokowi 43.9% 
Sandiaga 29.0%
Prabowo 23.9…",X_SamURay63
246,713,Thu Oct 25 13:58:45 +0000 2018,"RT @CakKhum: Susi Semprot Lagi Sandi: Satu Kata Saja, Goblok

Kalau Sandi Goblok Enggak Mungkin dia jadi pengusaha sukses, duh kasar amat B…",nenimustopa
159,372,Thu Oct 25 13:58:42 +0000 2018,"RT @CakKhum: Susi Semprot Lagi Sandi: Satu Kata Saja, Goblok

Kalau Sandi Goblok Enggak Mungkin dia jadi pengusaha sukses, duh kasar amat B…",GilmiNovika
